Attrition_Flag,Gender,Education_Level,Income_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
True,0,99,3,4,2,3,3436.0,2016,0.901,1097,0.833,0.587,0,1,0,0,1,0,0,0
False,0,3,2,2,4,4,34516.0,0,0.763,691,0.5,0.0,0,1,0,0,0,0,0,1
True,0,1,2,5,3,3,5926.0,1251,0.944,1316,1.154,0.211,1,0,0,0,1,0,0,0
True,0,4,4,2,4,2,23957.0,2102,0.997,1276,0.733,0.088,0,0,1,0,1,0,0,0
True,0,1,4,4,2,2,14734.0,1634,0.989,1289,0.917,0.111,0,0,1,0,1,0,0,0
True,0,0,3,4,1,4,34516.0,1515,0.592,1293,0.6,0.044,0,0,1,0,0,0,0,1
True,0,2,2,5,3,3,6584.0,1817,0.62,1353,0.667,0.276,0,1,0,0,1,0,0,0
True,1,0,0,6,3,3,2084.0,1468,1.004,1132,0.556,0.704,0,0,1,0,1,0,0,0
True,0,3,2,2,2,2,1687.0,1107,1.715,1670,2.4,0.656,0,1,0,0,1,0,0,0
True,0,5,3,6,2,2,25300.0,1330,1.072,837,2.0,0.053,0,1,0,0,1,0,0,0
True,0,3,4,3,2,3,34516.0,1763,1.266,1550,1.05,0.051,0,0,1,0,1,0,0,0
True,1,3,0,5,3,3,2216.0,1034,0.758,1540,0.286,0.467,0,1,0,0,1,0,0,0
True,0,3,2,4,2,3,2910.0,2030,0.769,1256,0.4,0.698,0,0,0,1,1,0,0,0
True,0,0,3,6,2,2,22913.0,1528,0.414,1394,0.522,0.067,0,1,0,0,1,0,0,0
True,0,2,2,3,3,3,24312.0,1932,1.312,1341,1.182,0.079,0,0,1,0,1,0,0,0
True,0,3,3,5,3,2,5272.0,1515,0.857,1289,0.435,0.287,0,0,1,0,1,0,0,0
True,1,3,0,6,4,2,7000.0,2517,0.475,1112,1.875,0.36,0,0,1,0,1,0,0,0
True,1,0,0,4,4,2,7038.0,1801,0.751,2339,0.966,0.256,0,0,1,0,1,0,0,0
True,0,3,2,6,1,2,2536.0,1823,0.703,1468,0.353,0.719,1,0,0,0,1,0,0,0
True,0,3,3,6,3,2,28904.0,1899,0.85,1334,0.4,0.066,0,1,0,0,1,0,0,0
True,0,3,2,4,4,0,8567.0,1695,1.242,1457,1.412,0.198,0,1,0,0,1,0,0,0
True,0,99,4,6,2,2,34516.0,1533,0.924,1603,0.526,0.044,0,0,0,1,1,0,0,0
False,1,99,1,2,4,3,2158.0,0,0.585,615,0.714,0.0,0,1,0,0,1,0,0,0
True,1,3,99,2,3,3,10133.0,1417,0.383,1068,0.818,0.14,0,1,0,0,1,0,0,0
True,0,3,3,5,4,2,34516.0,1219,1.129,1590,2.0,0.035,1,0,0,0,1,0,0,0
True,0,3,2,5,3,0,3085.0,1910,0.921,1531,0.667,0.619,0,1,0,0,1,0,0,0
True,0,1,4,4,2,1,19040.0,2056,0.607,1212,0.722,0.108,0,0,1,0,1,0,0,0
True,1,0,0,5,2,3,4026.0,0,0.483,1237,0.6,0.0,0,0,1,0,1,0,0,0
True,0,1,2,4,3,1,12756.0,837,1.932,1413,1.8,0.066,0,0,1,0,1,0,0,0
True,0,99,4,5,3,3,5266.0,0,1.702,1516,1.636,0.0,0,1,0,0,1,0,0,0
True,1,1,0,3,2,2,9930.0,0,0.731,1276,1.333,0.0,0,0,1,0,1,0,0,0
True,0,1,3,4,3,0,31302.0,1953,0.875,1564,2.182,0.062,0,0,1,0,1,0,0,0
True,0,3,1,4,4,3,6576.0,0,0.579,1465,0.619,0.0,0,0,1,0,1,0,0,0
True,0,3,3,5,4,1,2664.0,2037,0.85,1286,0.933,0.765,0,0,1,0,1,0,0,0
True,1,99,99,5,1,2,2535.0,2440,1.705,1312,1.222,0.963,0,1,0,0,1,0,0,0
True,0,3,0,6,4,3,1709.0,895,1.656,1673,0.882,0.524,0,1,0,0,1,0,0,0
True,0,3,1,5,4,2,3454.0,1200,0.597,1313,0.304,0.347,0,1,0,0,1,0,0,0
True,0,5,1,5,3,2,3789.0,1706,1.047,1609,0.68,0.45,0,1,0,0,1,0,0,0
True,0,2,4,3,2,0,9689.0,2250,0.576,1158,0.727,0.232,0,1,0,0,1,0,0,0
False,0,99,3,2,3,3,5449.0,1628,0.696,836,0.385,0.299,0,1,0,0,1,0,0,0
True,1,2,99,4,4,0,23032.0,1960,0.619,1289,1.0,0.085,0,0,1,0,1,0,0,0
True,1,99,99,5,3,3,34516.0,2053,1.034,1487,0.733,0.059,0,1,0,0,0,0,0,1
True,0,3,4,6,2,2,2940.0,1264,0.562,1259,0.5,0.43,0,1,0,0,1,0,0,0
True,1,3,0,3,3,3,3031.0,1879,0.788,1298,1.5,0.62,0,0,1,0,1,0,0,0
True,0,1,2,3,3,0,1862.0,0,0.883,1226,0.789,0.0,0,0,0,1,1,0,0,0
True,1,4,0,2,3,3,8358.0,926,0.762,1566,0.542,0.111,0,1,0,0,1,0,0,0
True,0,4,4,6,1,2,34516.0,931,0.828,1022,1.1,0.027,0,0,1,0,1,0,0,0
True,0,0,2,5,2,3,14450.0,2440,1.283,1235,0.667,0.169,0,1,0,0,1,0,0,0
True,1,99,0,6,0,0,1438.3,0,0.813,1951,1.095,0.0,0,1,0,0,1,0,0,0
True,0,99,4,6,3,2,33791.0,1960,0.618,1047,0.824,0.058,1,0,0,0,1,0,0,0
True,0,3,2,4,3,0,8466.0,1886,0.56,1342,0.391,0.223,0,1,0,0,1,0,0,0
True,0,99,2,5,3,3,15088.0,865,0.939,1107,1.625,0.057,0,1,0,0,1,0,0,0
True,0,1,2,5,1,2,3263.0,1674,0.588,1251,0.346,0.513,1,0,0,0,1,0,0,0
True,1,0,0,2,2,2,1494.0,706,1.674,1305,3.0,0.473,0,1,0,0,1,0,0,0
True,0,3,3,6,1,0,13551.0,1294,0.791,1388,1.056,0.095,0,0,1,0,1,0,0,0
True,0,3,3,6,2,2,18886.0,895,1.826,1235,1.571,0.047,0,0,1,0,1,0,0,0
True,0,1,3,3,2,0,11976.0,1273,1.024,2089,1.118,0.106,0,0,0,1,1,0,0,0
True,0,1,3,4,1,4,9964.0,1559,1.873,1626,0.786,0.156,0,0,1,0,1,0,0,0
True,0,5,2,4,6,3,24159.0,1196,0.712,1111,1.0,0.05,0,1,0,0,1,0,0,0
True,1,1,0,3,2,3,5362.0,1901,0.816,1553,1.0,0.355,0,1,0,0,1,0,0,0
True,0,3,4,3,2,2,34516.0,1023,1.004,1064,0.625,0.03,0,0,1,0,1,0,0,0
True,1,5,0,4,1,0,3174.0,1951,0.766,1243,0.611,0.615,0,1,0,0,1,0,0,0
True,0,1,3,3,2,2,12262.0,1836,1.584,1659,1.533,0.15,0,1,0,0,1,0,0,0
True,1,1,1,4,3,3,3788.0,1540,0.566,1594,0.382,0.407,0,0,1,0,1,0,0,0
True,0,2,4,2,3,2,34516.0,1527,0.526,1268,0.355,0.044,0,0,1,0,0,0,0,1
True,0,3,2,4,2,2,2926.0,0,0.676,1304,0.846,0.0,0,0,1,0,1,0,0,0
True,0,3,4,6,1,0,32090.0,0,0.567,1368,0.364,0.0,0,0,1,0,1,0,0,0
False,0,3,3,3,3,2,11669.0,2227,0.622,720,0.353,0.191,0,1,0,0,1,0,0,0
True,0,1,1,3,1,2,13532.0,1300,0.846,1521,1.417,0.096,0,0,1,0,1,0,0,0
True,1,0,0,4,2,2,11888.0,2090,0.7,1137,0.765,0.176,0,0,0,1,0,0,0,1
True,1,3,0,5,1,2,2393.0,1985,0.788,978,0.778,0.83,0,1,0,0,1,0,0,0
True,0,99,1,5,1,2,6111.0,2517,0.632,1221,2.2,0.412,0,1,0,0,1,0,0,0
True,0,3,3,3,2,3,19270.0,1662,1.186,1565,1.545,0.086,0,1,0,0,1,0,0,0
True,0,3,3,3,1,4,3710.0,2517,1.541,1578,0.7,0.678,0,1,0,0,1,0,0,0
True,0,5,0,2,1,3,3235.0,797,0.541,1493,1.0,0.246,0,0,1,0,1,0,0,0
True,1,3,1,3,1,0,11749.0,788,0.688,1178,0.929,0.067,0,0,1,0,1,0,0,0
True,0,1,2,5,3,2,7753.0,2100,0.839,991,0.733,0.271,1,0,0,0,1,0,0,0
True,0,2,2,5,1,0,10408.0,1186,1.689,2560,1.211,0.114,1,0,0,0,1,0,0,0
True,1,2,99,6,2,3,3967.0,1568,1.236,1657,1.231,0.395,0,1,0,0,1,0,0,0
True,1,4,0,4,2,2,6205.0,2517,0.939,1204,0.727,0.406,0,0,1,0,1,0,0,0
False,1,1,0,1,3,3,8025.0,0,0.654,673,0.8,0.0,0,1,0,0,1,0,0,0
True,0,99,4,6,2,3,9036.0,2327,0.649,1131,0.636,0.258,0,0,1,0,1,0,0,0
True,0,3,3,2,3,2,14926.0,2517,1.996,1576,1.5,0.169,0,1,0,0,1,0,0,0
True,1,3,0,3,2,3,6335.0,1128,0.397,1217,0.667,0.178,0,0,1,0,1,0,0,0
False,0,2,2,2,3,3,14979.0,0,0.71,530,1.0,0.0,0,0,1,0,1,0,0,0
False,1,0,0,3,2,3,2732.0,0,0.76,739,0.455,0.0,0,1,0,0,1,0,0,0
True,1,3,0,6,3,2,2250.0,2117,1.162,1617,2.875,0.941,0,0,1,0,1,0,0,0
True,0,3,4,3,2,0,10916.0,1536,1.317,1592,1.0,0.141,0,1,0,0,1,0,0,0
True,1,3,99,4,1,3,5349.0,1228,0.728,1343,1.308,0.23,0,1,0,0,1,0,0,0
True,0,1,3,4,1,3,9366.0,1104,0.572,1303,0.625,0.118,0,1,0,0,1,0,0,0
True,0,1,3,5,1,0,21617.0,0,1.047,1351,0.467,0.0,0,0,1,0,1,0,0,0
True,0,3,99,5,2,3,13860.0,1652,1.255,1910,1.909,0.119,0,1,0,0,1,0,0,0
True,1,3,1,2,2,3,18386.0,0,0.868,1298,0.571,0.0,0,0,1,0,0,0,0,1
True,0,0,2,6,2,2,2405.0,1540,0.469,1087,1.231,0.64,0,0,1,0,1,0,0,0
True,1,2,0,4,2,3,2154.0,930,2.121,1439,1.364,0.432,0,1,0,0,1,0,0,0
True,1,99,1,3,3,3,2038.0,0,0.786,1238,0.75,0.0,0,1,0,0,1,0,0,0
True,1,1,1,6,1,3,8135.0,0,1.373,1716,0.812,0.0,0,0,1,0,1,0,0,0
True,0,5,4,6,1,3,9364.0,618,0.554,1099,0.8,0.066,0,1,0,0,1,0,0,0
True,1,0,99,4,3,2,32643.0,0,1.3,1058,2.429,0.0,0,1,0,0,0,0,0,1
True,1,3,0,2,3,1,3195.0,1954,0.971,1285,0.706,0.612,1,0,0,0,1,0,0,0
True,0,1,3,5,2,1,2852.0,1024,1.009,1651,1.0,0.359,0,1,0,0,1,0,0,0
True,1,2,99,2,3,3,4224.0,1305,0.852,1152,0.824,0.309,0,0,1,0,1,0,0,0
True,0,0,2,3,2,2,20459.0,2071,1.248,1767,2.167,0.101,0,1,0,0,1,0,0,0
True,1,99,0,6,5,3,3482.0,2114,0.508,1039,0.263,0.607,1,0,0,0,1,0,0,0
True,1,0,1,5,2,3,3065.0,1570,1.077,1130,1.333,0.512,0,1,0,0,1,0,0,0
True,1,0,0,3,1,2,2185.0,1761,0.682,1645,0.429,0.806,0,1,0,0,1,0,0,0
True,1,0,0,4,1,0,1611.0,746,0.993,1413,0.706,0.463,0,1,0,0,1,0,0,0
True,1,0,0,3,3,3,2822.0,2173,1.456,1218,2.286,0.77,0,1,0,0,1,0,0,0
False,0,3,3,6,3,3,32975.0,2517,0.658,597,0.7,0.076,0,0,1,0,1,0,0,0
True,0,1,2,5,2,2,1438.3,0,0.776,2184,0.828,0.0,0,1,0,0,1,0,0,0
True,1,0,99,4,3,3,15875.0,1719,0.86,1592,1.467,0.108,1,0,0,0,1,0,0,0
True,1,1,0,6,3,3,6703.0,893,0.567,1388,0.75,0.133,0,1,0,0,1,0,0,0
False,0,99,3,2,2,1,3212.0,0,0.713,757,0.25,0.0,0,1,0,0,1,0,0,0
True,0,1,3,3,1,3,34516.0,1260,0.588,1504,0.789,0.037,0,1,0,0,0,0,0,1
True,1,1,1,4,1,2,9797.0,1434,0.644,1503,0.478,0.146,0,1,0,0,1,0,0,0
True,1,3,1,5,2,2,10400.0,1777,0.791,1105,0.867,0.171,1,0,0,0,1,0,0,0
True,0,0,3,2,1,2,26792.0,1836,1.432,2398,0.88,0.069,0,1,0,0,1,0,0,0
True,1,3,0,4,3,2,3006.0,2517,2.053,1661,1.0,0.837,0,1,0,0,1,0,0,0
True,1,0,1,6,3,0,19482.0,1072,0.706,1421,1.444,0.055,0,0,1,0,0,0,0,1
True,1,0,1,4,2,3,3356.0,985,0.35,999,0.556,0.294,0,1,0,0,1,0,0,0
True,0,0,1,3,2,1,5771.0,2248,1.791,1387,0.8,0.39,0,1,0,0,1,0,0,0
True,0,3,3,6,2,3,11106.0,2107,0.948,1243,1.0,0.19,0,1,0,0,1,0,0,0
True,1,0,0,5,3,0,2890.0,2001,1.334,1860,1.0,0.692,0,1,0,0,1,0,0,0
True,0,3,2,6,2,2,3380.0,1701,0.747,1502,1.273,0.503,0,1,0,0,1,0,0,0
True,0,3,2,2,1,2,21331.0,1251,0.949,1460,1.083,0.059,0,1,0,0,1,0,0,0
True,1,0,99,6,2,1,12860.0,0,0.646,1348,0.286,0.0,0,0,1,0,1,0,0,0
True,0,4,3,3,1,0,6278.0,462,1.161,1087,0.941,0.074,0,0,1,0,1,0,0,0
True,1,2,0,5,1,3,1438.3,738,0.782,1226,0.571,0.513,0,0,1,0,1,0,0,0
True,1,1,0,5,1,2,9355.0,1626,0.701,1230,0.867,0.174,0,1,0,0,1,0,0,0
True,1,4,99,6,1,3,20758.0,0,0.688,1555,0.684,0.0,0,1,0,0,1,0,0,0
True,0,3,3,5,3,1,14612.0,1976,1.768,1827,3.0,0.135,0,1,0,0,1,0,0,0
True,0,3,3,5,2,0,27259.0,0,0.731,1376,0.591,0.0,0,0,0,1,1,0,0,0
True,1,3,0,4,2,3,6347.0,1594,0.896,1771,0.762,0.251,0,1,0,0,1,0,0,0
True,0,5,4,3,3,0,21592.0,1676,1.097,1873,0.529,0.078,0,1,0,0,1,0,0,0
True,1,4,0,5,1,1,3449.0,1598,0.971,1679,0.556,0.463,0,1,0,0,1,0,0,0
True,1,1,0,2,1,2,6028.0,799,0.819,1002,0.571,0.133,0,1,0,0,1,0,0,0
True,0,1,4,3,2,3,18214.0,1998,0.829,1344,1.1,0.11,0,0,0,1,1,0,0,0
True,0,0,3,3,3,1,16393.0,1423,1.642,1461,0.75,0.087,0,1,0,0,1,0,0,0
False,0,1,0,1,3,2,1438.3,900,0.743,760,0.615,0.626,0,1,0,0,1,0,0,0
True,0,2,2,4,1,2,7871.0,1687,1.242,1428,1.444,0.214,0,1,0,0,1,0,0,0
True,0,99,3,5,3,0,5288.0,866,0.869,1777,0.75,0.164,0,1,0,0,1,0,0,0
True,0,3,2,4,5,3,11376.0,2006,0.619,1302,0.8,0.176,0,1,0,0,1,0,0,0
True,0,2,3,4,5,3,12302.0,1632,1.509,1483,0.519,0.133,0,1,0,0,1,0,0,0
True,0,3,2,3,2,1,34516.0,1679,0.623,1060,0.5,0.049,0,1,0,0,0,0,0,1
True,0,3,2,4,2,2,34516.0,1468,0.505,1330,0.684,0.043,0,1,0,0,0,0,0,1
True,1,1,0,3,2,2,10514.0,1580,0.504,1229,0.8,0.15,1,0,0,0,0,0,0,1
False,1,3,0,2,4,3,1438.3,0,0.707,886,0.421,0.0,0,1,0,0,1,0,0,0
False,0,4,2,3,3,3,1438.3,0,0.688,844,0.5,0.0,0,1,0,0,1,0,0,0
True,0,3,1,2,1,2,2619.0,1779,1.259,1450,0.947,0.679,0,1,0,0,1,0,0,0
True,0,2,4,2,3,0,24407.0,2395,1.071,2311,0.714,0.098,0,1,0,0,1,0,0,0
True,1,1,0,4,1,2,2377.0,1649,0.93,1378,1.167,0.694,0,1,0,0,1,0,0,0
True,0,99,3,3,2,3,34516.0,1359,1.327,1033,1.364,0.039,0,0,0,1,0,0,0,1
True,0,3,4,5,3,3,11086.0,2207,0.869,1523,1.105,0.199,0,1,0,0,1,0,0,0
True,0,1,2,4,2,2,11432.0,2517,0.615,1374,0.762,0.22,0,0,1,0,1,0,0,0
True,0,1,1,5,3,2,13258.0,1721,0.908,1080,1.333,0.13,0,1,0,0,1,0,0,0
True,0,2,0,3,2,3,2571.0,1955,0.531,1234,0.714,0.76,0,0,1,0,1,0,0,0
True,1,3,0,5,2,0,5781.0,1168,0.638,1600,0.455,0.202,0,0,1,0,1,0,0,0
True,0,99,2,5,1,2,7872.0,2509,0.971,1155,0.882,0.319,0,1,0,0,1,0,0,0
True,0,1,3,6,1,2,34516.0,1202,0.603,1353,0.737,0.035,0,1,0,0,1,0,0,0
True,1,0,0,4,1,3,11127.0,1835,2.368,1546,1.273,0.165,1,0,0,0,0,0,0,1
True,0,99,1,2,1,3,1857.0,1603,0.579,1590,1.263,0.863,0,0,1,0,1,0,0,0
True,1,0,0,5,1,0,1913.0,1272,1.008,1448,1.0,0.665,0,1,0,0,1,0,0,0
True,0,3,3,5,3,0,3839.0,2295,0.569,1271,0.714,0.598,0,0,1,0,1,0,0,0
True,1,3,1,6,2,3,2115.0,1141,0.616,1223,0.538,0.539,1,0,0,0,1,0,0,0
True,1,3,0,5,2,2,1438.3,679,0.859,1117,1.071,0.472,1,0,0,0,1,0,0,0
True,0,1,3,4,3,0,27756.0,1789,0.75,994,0.846,0.064,0,0,1,0,1,0,0,0
True,0,2,2,4,1,2,1438.3,0,0.81,1468,0.625,0.0,0,0,1,0,1,0,0,0
True,1,0,0,6,4,2,13878.0,2222,0.853,1658,0.357,0.16,1,0,0,0,0,0,0,1
True,1,3,0,3,1,3,3106.0,1304,0.604,1368,0.407,0.42,0,1,0,0,1,0,0,0
True,0,3,4,4,3,3,34516.0,1666,0.613,1218,0.8,0.048,0,1,0,0,1,0,0,0
False,1,0,1,4,4,3,1438.3,1025,0.838,702,0.714,0.713,0,1,0,0,1,0,0,0
True,0,99,3,2,3,0,18871.0,1740,1.727,1516,2.0,0.092,0,1,0,0,1,0,0,0
True,0,3,4,5,2,2,5207.0,1748,1.073,1310,1.0,0.336,0,0,1,0,1,0,0,0
True,0,4,3,6,2,2,17965.0,1644,0.921,1767,0.923,0.092,1,0,0,0,1,0,0,0
True,0,2,2,6,3,3,2733.0,1819,0.767,933,0.923,0.666,0,0,1,0,1,0,0,0
True,0,2,2,4,3,2,8863.0,1301,1.207,1512,1.455,0.147,0,1,0,0,1,0,0,0
False,0,0,3,2,3,3,1857.0,1833,0.723,829,0.7,0.987,0,1,0,0,1,0,0,0
True,0,3,3,3,3,3,34516.0,0,0.483,1120,0.35,0.0,0,0,0,1,1,0,0,0
True,0,0,1,5,3,3,11107.0,1222,0.538,1506,0.941,0.11,0,1,0,0,1,0,0,0
True,0,99,3,4,1,2,21573.0,1585,0.621,1384,2.273,0.073,0,0,1,0,1,0,0,0
False,1,99,0,2,3,3,2859.0,2517,0.993,817,0.667,0.88,0,1,0,0,1,0,0,0
True,0,1,3,4,2,2,5269.0,1475,1.148,2094,0.667,0.28,0,0,1,0,1,0,0,0
False,0,2,1,2,2,3,1438.3,0,0.734,815,0.615,0.0,0,1,0,0,1,0,0,0
False,1,2,0,1,3,2,3387.0,0,0.789,510,0.6,0.0,0,1,0,0,1,0,0,0
True,0,3,3,6,2,3,1982.0,1289,0.939,1377,0.69,0.65,0,1,0,0,1,0,0,0
True,0,0,3,2,2,2,4645.0,1650,0.912,1193,0.65,0.355,0,0,1,0,1,0,0,0
True,1,5,99,6,3,2,2189.0,1666,0.343,1287,0.636,0.761,0,0,1,0,1,0,0,0
False,0,1,4,3,3,3,2442.0,0,0.98,701,0.727,0.0,0,1,0,0,1,0,0,0
True,0,3,2,4,1,2,21304.0,1532,1.018,1770,0.923,0.072,0,1,0,0,1,0,0,0
True,0,5,2,5,1,2,7577.0,2480,0.435,1409,0.167,0.327,0,0,1,0,1,0,0,0
True,0,4,4,4,1,2,3234.0,1486,0.868,1354,0.647,0.459,0,0,1,0,1,0,0,0
True,0,1,1,5,3,2,4469.0,1125,1.363,1765,1.615,0.252,0,1,0,0,1,0,0,0
True,0,99,1,6,3,4,2910.0,709,0.538,1192,0.588,0.244,0,0,0,1,1,0,0,0
False,0,1,1,2,4,3,3616.0,1054,0.616,687,0.545,0.291,0,0,1,0,1,0,0,0
True,0,1,0,3,2,3,3252.0,1495,0.581,1227,0.875,0.46,0,1,0,0,1,0,0,0
True,1,1,0,4,3,3,2358.0,1152,0.969,1737,1.6,0.489,0,1,0,0,1,0,0,0
True,0,99,2,4,1,0,22322.0,953,0.769,1348,1.125,0.043,0,0,1,0,1,0,0,0
